popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
56.071,1008,FALSE,/b3jWxwWRFqvNDJTvBcmKJVHnzKK.jpg,505948,FALSE,/kmPnDn9mbjD9Vzn1FTclNiSHGNa.jpg,en,I Am Mother,NULL,I Am Mother,6.6,"A teenage girl is raised underground by a robot ""Mother"", designed to repopulate the earth following an extinction event. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",6/7/19
66.514,318,FALSE,/4d4mTSfDIFIbUbMLUfaKodvxYXA.jpg,551332,FALSE,/bOPessdyd0dChHy70FM8Om7CgDg.jpg,en,The Two Popes,NULL,The Two Popes,7.7,"Frustrated with the direction of the church, Cardinal Bergoglio requests permission to retire in 2012 from Pope Benedict. Instead, facing scandal and self-doubt, the introspective Pope Benedict summons his harshest critic and future successor to Rome to reveal a secret that would shake the foundations of the Catholic Church. Behind Vatican walls, a struggle commences between both tradition and progress, guilt and forgiveness, as these two very different men confront their pasts in order to find common ground and forge a future for a billion followers around the world.",11/27/19
66.269,706,FALSE,/vOl6shtL0wknjaIs6JdKCpcHvg8.jpg,567609,FALSE,/j8uPZSPjKYzHlN2B4NhPQVWWZ5x.jpg,en,Ready or Not,NULL,Ready or Not,6.8,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,8/21/19
80.105,15314,FALSE,/gHPtCmMeDqjaGqnMrWGDmD3nKd2.jpg,671,FALSE,/hziiv14OpD73u9gAak4XDDfBKa2.jpg,en,Harry Potter and the Philosopher's Stone,NULL,Harry Potter and the Philosopher's Stone,7.8,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",11/16/01
62.032,264,FALSE,/3nk9UoepYmv1G9oP18q6JJCeYwN.jpg,503919,FALSE,/i51wnN9phojyn14xHjQt6rv1r0x.jpg,en,The Lighthouse,NULL,The Lighthouse,8,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,10/18/19
76.293,1187,FALSE,/pZekG6xabTmZxjmYw10wN84Hp8d.jpg,492188,FALSE,/nwoDC0IJA47wr3znJgT1kkk64Gy.jpg,en,Marriage Story,NULL,Marriage Story,8.1,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",11/6/19
57.172,13585,FALSE,/gfJGlDaHuWimErCr5Ql0I8x9QSy.jpg,297762,FALSE,/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg,en,Wonder Woman,NULL,Wonder Woman,7.3,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,5/30/17
74.651,2275,FALSE,/kvpNZAQow5es1tSY6XW2jAZuPPG.jpg,384018,FALSE,/qAhedRxRYWZAgZ8O8pHIl6QHdD7.jpg,en,Fast & Furious Presents: Hobbs & Shaw,NULL,Fast & Furious Presents: Hobbs & Shaw,6.6,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have swapped smacks and bad words. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, both join forces to defeat him. (A spin-off of “The Fate of the Furious,” focusing on Johnson's Luke Hobbs and Statham's Deckard Shaw.)",8/1/19
70.77,7204,FALSE,/mjKozYRuHc9j7SmiXmbVmCiAM0A.jpg,812,FALSE,/5OeY4U2rzePxWq2rkqMajUx2gz7.jpg,en,Aladdin,NULL,Aladdin,7.6,"Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin Aladdin.  The couple falls in love, although Jasmine may only marry a prince.  After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.",11/25/92
55.089,12718,FALSE,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,284053,FALSE,/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg,en,Thor: Ragnarok,NULL,Thor: Ragnarok,7.5,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",10/25/17
70.925,1731,FALSE,/ePXuKdXZuJx8hHMNr2yM4jY2L7Z.jpg,559969,FALSE,/ijiE9WoGSwSzM16zTxvUneJ8RXc.jpg,en,El Camino: A Breaking Bad Movie,NULL,El Camino: A Breaking Bad Movie,7,"In the wake of his dramatic escape from captivity, Jesse Pinkman must come to terms with his past in order to forge some kind of future.",10/11/19
65.838,61,FALSE,/mSmiB8XjUnR1GSIljuCPGsk0cwX.jpg,331482,FALSE,/3uTxPIdVEXxHpsHOHdJC24QebBV.jpg,en,Little Women,NULL,Little Women,8.3,Four sisters come of age in America in the aftermath of the Civil War.,12/25/19
38.789,18,FALSE,/oY7N4ii7ZH4uqz10vN8llMqXQ4u.jpg,653522,FALSE,/lGKJmltdVrfkI1tWWQ1v7cPeacT.jpg,it,The App,NULL,The App,3,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, actor and industrial heir Niccolò becomes obsessed with the dating app ""US"" that sends him into a self-destructive spiral.",12/26/19
74.554,9189,FALSE,/sOHqdY1RnSn6kcfAHKu28jvTebE.jpg,497,FALSE,/Rlt20sEbOQKPVjia7lUilFm49W.jpg,en,The Green Mile,NULL,The Green Mile,8.5,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",12/10/99
70.671,3517,FALSE,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,458156,FALSE,/stemLQMLDrlpfIlZ5OjllOPT8QX.jpg,en,John Wick: Chapter 3 - Parabellum,NULL,John Wick: Chapter 3 - Parabellum,7.1,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",5/15/19
41.037,637,FALSE,7954,9,Life Is Beautiful,12/20/97,it,La vita è bella,NULL,/bORe0eI72D874TMawOOFvqWS6Xe.jpg,FALSE,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,/f7DImXDebOs148U4uPjI61iDvaK.jpg
64.891,19407,FALSE,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,118340,FALSE,/kHex2XdOmGtazk1VfJjp4bl7BIc.jpg,en,Guardians of the Galaxy,NULL,Guardians of the Galaxy,7.9,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",7/30/14
97.554,5911,FALSE,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,324857,FALSE,/uUiId6cG32JSRI6RyBQSvQtLjz2.jpg,en,Spider-Man: Into the Spider-Verse,NULL,Spider-Man: Into the Spider-Verse,8.4,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",12/6/18
